Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
29.0,Female,79.3,1.71,141.0,111.0,68.0,0.55,310.0,Strength,32.1,1.4,2.0,1.0,27.24
29.0,Female,62.4,1.63,194.0,160.0,61.0,1.7,473.0,Strength,24.7,2.4,6.0,3.0,23.14
22.0,Female,97.8,1.72,182.0,155.0,60.0,0.91,967.0,HIIT,34.9,2.7,3.0,1.0,33.16
23.0,Male,83.8,1.69,166.0,127.0,62.0,0.94,1027.0,Strength,27.1,2.2,3.0,2.0,29.13
18.0,Female,74.2,1.6,161.0,139.0,69.0,0.6,826.0,Cardio,27.4,2.2,3.0,1.0,29.23
45.0,Male,77.5,1.7,167.0,140.0,51.0,0.93,134.0,Cardio,20.6,3.1,3.0,2.0,26.01
58.0,Female,91.6,1.73,160.0,132.0,66.0,0.98,892.0,Strength,30.9,2.7,4.0,2.0,30.5
53.0,Female,57.8,1.77,164.0,127.0,64.0,1.11,1068.0,Yoga,25.1,2.2,3.0,2.0,18.48
18.0,Female,80.9,1.65,145.0,116.0,78.0,0.71,702.0,Yoga,25.3,2.0,2.0,1.0,30.19
45.0,Female,65.7,1.78,130.0,98.0,75.0,0.81,1279.0,Cardio,22.5,2.3,2.0,1.0,20.77
53.0,Male,74.1,1.82,130.0,114.0,67.0,0.81,225.0,Cardio,23.8,2.4,2.0,1.0,22.44
31.0,Male,82.5,1.78,154.0,133.0,65.0,1.0,870.0,Strength,19.1,2.5,4.0,2.0,26.17
37.0,Female,72.9,1.58,144.0,107.0,70.0,0.71,319.0,Cardio,34.1,2.3,3.0,1.0,29.64
18.0,Male,68.1,1.84,136.0,125.0,82.0,0.82,987.0,Cardio,14.7,2.3,2.0,1.0,19.98
39.0,Male,71.5,1.78,155.0,116.0,66.0,0.48,841.0,Yoga,17.3,2.1,2.0,1.0,22.08
23.0,Male,84.9,1.87,162.0,130.0,63.0,1.34,1230.0,Cardio,21.0,2.2,3.0,2.0,23.72
38.0,Male,70.4,1.72,137.0,115.0,64.0,0.57,805.0,Cardio,26.7,2.4,3.0,1.0,24.03
18.0,Male,72.3,1.65,179.0,158.0,54.0,1.24,527.0,HIIT,21.3,2.9,5.0,3.0,26.63
43.0,Male,114.1,1.78,180.0,137.0,70.0,0.79,493.0,Yoga,25.6,1.5,2.0,2.0,35.92
48.0,Male,92.2,1.88,150.0,111.0,73.0,0.47,564.0,Yoga,18.7,1.7,1.0,1.0,25.88
27.0,Male,67.6,1.79,164.0,137.0,77.0,1.12,489.0,Strength,21.7,2.2,3.0,2.0,21.16
22.0,Male,60.6,1.76,146.0,117.0,79.0,0.99,1080.0,Yoga,13.6,2.0,2.0,1.0,19.64
18.0,Female,57.9,1.62,166.0,143.0,81.0,1.2,1062.0,Strength,28.2,3.3,5.0,3.0,22.23
33.0,Male,74.9,1.92,162.0,133.0,67.0,1.02,172.0,Cardio,18.5,3.9,4.0,2.0,19.93
29.0,Male,74.2,1.7,165.0,142.0,66.0,1.0,665.0,Strength,22.4,1.3,3.0,3.0,25.06
18.0,Female,72.2,1.66,151.0,124.0,63.0,0.8,668.0,Yoga,28.9,2.2,3.0,1.0,25.88
41.0,Male,74.1,1.83,176.0,134.0,73.0,1.3,404.0,Cardio,17.3,2.5,4.0,1.0,21.65
31.0,Male,83.5,1.63,170.0,143.0,69.0,1.2,794.0,Yoga,27.6,2.4,4.0,3.0,30.94
23.0,Female,52.5,1.6,164.0,144.0,69.0,1.25,1122.0,Strength,19.8,3.0,6.0,3.0,21.06
29.0,Male,78.5,1.83,144.0,127.0,60.0,1.05,936.0,Cardio,24.8,2.5,2.0,1.0,22.65
49.0,Male,90.1,1.85,162.0,133.0,70.0,1.06,1083.0,Cardio,20.0,2.3,3.0,2.0,26.49
43.0,Male,92.4,1.82,155.0,133.0,73.0,0.65,418.0,Yoga,25.6,2.1,2.0,1.0,28.21
34.0,Female,87.9,1.73,150.0,120.0,73.0,0.49,657.0,Cardio,27.4,2.4,3.0,1.0,29.72
43.0,Female,76.4,1.73,148.0,133.0,63.0,0.85,405.0,Cardio,25.8,2.7,2.0,1.0,25.62
22.0,Male,89.3,1.77,167.0,133.0,80.0,0.82,726.0,Strength,23.7,2.2,2.0,1.0,28.97
36.0,Female,62.8,1.69,135.0,115.0,86.0,0.84,753.0,HIIT,33.5,1.8,2.0,1.0,22.61
38.0,Female,77.3,1.68,186.0,158.0,60.0,0.94,961.0,Strength,28.9,3.7,4.0,1.0,27.28
30.0,Female,69.3,1.61,174.0,149.0,69.0,1.33,1076.0,Yoga,25.9,3.0,6.0,3.0,26.89
41.0,Female,86.4,1.69,150.0,108.0,52.0,0.83,867.0,Cardio,29.9,2.4,3.0,1.0,30.7
27.0,Male,57.5,1.81,163.0,134.0,73.0,0.71,374.0,Strength,11.5,2.2,3.0,2.0,17.25
42.0,Male,72.1,1.85,160.0,116.0,59.0,0.58,213.0,Yoga,18.4,2.2,3.0,1.0,20.98
43.0,Male,83.7,1.76,160.0,128.0,64.0,1.27,819.0,Yoga,29.2,2.5,3.0,2.0,26.8
18.0,Male,50.0,1.74,183.0,144.0,63.0,0.69,1130.0,Yoga,16.2,1.2,2.0,1.0,16.68
50.0,Female,61.9,1.55,165.0,139.0,66.0,0.8,642.0,Yoga,30.3,2.1,4.0,2.0,25.1
18.0,Female,78.8,1.68,172.0,141.0,74.0,0.99,163.0,Yoga,26.6,2.1,3.0,2.0,28.42
29.0,Female,54.2,1.58,169.0,131.0,55.0,1.12,1319.0,HIIT,23.8,2.2,4.0,1.0,21.9
48.0,Female,59.3,1.61,147.0,112.0,69.0,0.3,800.0,Yoga,25.9,1.6,3.0,1.0,23.08
32.0,Female,62.3,1.8,196.0,164.0,60.0,1.32,712.0,HIIT,20.2,2.8,5.0,3.0,18.4
18.0,Female,59.8,1.63,130.0,101.0,83.0,0.59,270.0,Yoga,26.2,2.7,3.0,1.0,22.14
23.0,Female,57.9,1.6,134.0,107.0,75.0,0.4,648.0,Yoga,26.9,2.2,4.0,1.0,23.14
48.0,Female,63.8,1.73,171.0,134.0,60.0,0.98,871.0,HIIT,25.7,1.9,4.0,2.0,21.26
18.0,Male,72.7,1.83,171.0,132.0,69.0,0.63,809.0,Yoga,18.9,1.6,2.0,2.0,21.11
50.0,Male,69.2,1.74,155.0,132.0,79.0,0.97,433.0,Strength,23.6,2.3,4.0,2.0,22.93
35.0,Male,72.3,1.78,162.0,140.0,73.0,0.92,633.0,Cardio,19.5,1.8,4.0,2.0,23.06
22.0,Male,113.0,1.89,139.0,118.0,66.0,0.5,448.0,Yoga,26.3,2.2,3.0,1.0,31.82
29.0,Male,73.8,1.84,202.0,167.0,62.0,1.07,1188.0,Yoga,23.8,3.4,6.0,3.0,21.75
24.0,Female,73.7,1.69,130.0,102.0,70.0,0.55,930.0,HIIT,24.3,1.8,1.0,2.0,26.2
46.0,Male,80.9,1.93,178.0,143.0,64.0,1.1,485.0,Strength,14.3,2.5,4.0,2.0,21.47
45.0,Female,69.0,1.76,148.0,116.0,60.0,0.68,273.0,Strength,22.2,1.9,3.0,1.0,22.46
18.0,Female,43.6,1.61,187.0,163.0,59.0,1.28,746.0,Strength,21.6,2.5,5.0,3.0,16.87
31.0,Female,54.8,1.72,151.0,110.0,82.0,0.49,487.0,Yoga,25.7,2.2,3.0,1.0,18.48
26.0,Female,62.4,1.77,134.0,118.0,69.0,0.59,512.0,Strength,20.9,1.8,2.0,1.0,19.78
52.0,Female,63.7,1.59,158.0,117.0,71.0,0.76,284.0,Strength,32.6,1.7,2.0,1.0,25.08
20.0,Male,84.8,1.76,175.0,144.0,65.0,1.37,332.0,Strength,24.0,2.1,5.0,3.0,27.39
55.0,Male,50.0,1.74,152.0,141.0,80.0,1.22,706.0,HIIT,14.9,2.8,5.0,3.0,16.41
36.0,Male,73.9,1.84,171.0,130.0,68.0,0.58,562.0,Cardio,16.9,2.9,4.0,2.0,22.08
22.0,Male,59.3,1.81,191.0,155.0,72.0,1.19,1454.0,Cardio,22.3,3.1,5.0,2.0,17.91
28.0,Male,66.7,1.73,171.0,146.0,60.0,1.22,845.0,Cardio,19.4,3.5,5.0,3.0,22.83
26.0,Female,74.4,1.63,153.0,133.0,66.0,0.83,281.0,Cardio,25.4,2.1,4.0,2.0,27.8
21.0,Male,77.2,1.84,130.0,99.0,72.0,0.59,152.0,Strength,27.6,2.5,2.0,1.0,23.12
37.0,Male,70.2,1.72,179.0,132.0,63.0,1.09,779.0,Yoga,22.2,2.0,4.0,2.0,24.07
21.0,Female,81.1,1.66,167.0,146.0,67.0,0.96,525.0,Cardio,32.9,2.8,5.0,2.0,29.49
18.0,Female,68.0,1.61,143.0,125.0,78.0,0.8,1075.0,Strength,33.0,2.8,2.0,1.0,26.26
31.0,Male,61.7,1.69,147.0,117.0,66.0,0.42,735.0,Cardio,21.1,2.3,3.0,1.0,21.35
18.0,Male,72.5,1.72,153.0,138.0,68.0,0.92,80.0,HIIT,24.5,3.2,3.0,2.0,24.33
27.0,Female,58.1,1.65,130.0,110.0,77.0,0.36,317.0,Yoga,24.2,1.8,2.0,1.0,21.42
25.0,Male,72.0,1.7,205.0,170.0,58.0,1.23,441.0,Strength,24.1,2.7,4.0,3.0,24.9
26.0,Female,73.8,1.67,171.0,139.0,80.0,0.49,789.0,Strength,28.1,1.7,3.0,1.0,26.88
60.0,Female,44.6,1.52,145.0,120.0,73.0,0.84,311.0,Strength,22.4,2.1,3.0,2.0,19.14
37.0,Female,62.9,1.6,190.0,162.0,67.0,1.03,704.0,Cardio,27.0,2.6,3.0,2.0,24.43
39.0,Female,63.9,1.63,135.0,111.0,58.0,0.8,219.0,Yoga,25.1,2.1,3.0,1.0,23.47
18.0,Male,87.0,1.81,133.0,105.0,69.0,0.59,646.0,Strength,24.8,1.9,3.0,1.0,26.78
28.0,Female,83.8,1.76,151.0,129.0,71.0,0.82,768.0,HIIT,30.2,2.2,3.0,1.0,27.25
39.0,Male,69.2,1.66,175.0,152.0,76.0,1.13,1122.0,HIIT,24.5,3.0,5.0,3.0,25.45
24.0,Female,64.3,1.66,164.0,141.0,76.0,0.69,728.0,Yoga,27.6,2.0,3.0,1.0,23.7
47.0,Male,85.9,1.75,137.0,115.0,80.0,0.92,387.0,HIIT,30.4,1.6,2.0,1.0,28.33
22.0,Male,63.0,1.75,163.0,127.0,60.0,1.03,1128.0,Yoga,21.6,1.6,4.0,2.0,20.86
33.0,Male,58.6,1.79,179.0,145.0,63.0,1.23,596.0,Cardio,16.0,2.5,6.0,3.0,18.5
29.0,Male,58.9,1.89,168.0,147.0,77.0,0.94,900.0,Strength,16.6,1.8,3.0,3.0,16.76
38.0,Male,82.0,1.84,146.0,128.0,66.0,0.65,452.0,Strength,25.6,1.7,3.0,1.0,23.58
28.0,Male,61.8,1.7,140.0,113.0,79.0,0.95,677.0,Yoga,16.3,1.9,3.0,1.0,21.0
33.0,Male,87.1,1.83,144.0,99.0,77.0,0.84,389.0,Yoga,28.9,2.0,2.0,1.0,25.57
33.0,Male,57.0,1.83,130.0,107.0,74.0,0.69,749.0,Yoga,13.3,1.8,2.0,1.0,17.47
27.0,Female,65.7,1.75,180.0,153.0,66.0,0.99,911.0,HIIT,26.9,3.4,5.0,1.0,21.18
42.0,Female,76.9,1.71,154.0,125.0,65.0,0.69,489.0,Strength,28.0,1.5,3.0,2.0,26.08
39.0,Female,60.5,1.74,164.0,137.0,80.0,1.04,476.0,Cardio,22.8,3.0,4.0,3.0,19.99
35.0,Female,78.0,1.75,179.0,155.0,72.0,0.91,767.0,Cardio,23.5,2.4,5.0,2.0,25.03
31.0,Female,63.0,1.7,193.0,156.0,70.0,0.84,389.0,Strength,27.1,2.2,3.0,1.0,21.93
46.0,Female,64.0,1.62,150.0,118.0,69.0,0.8,162.0,Yoga,22.6,2.4,2.0,1.0,23.64
33.0,Male,81.0,1.76,171.0,136.0,68.0,0.97,764.0,Yoga,18.6,2.2,5.0,2.0,25.74
32.0,Female,82.4,1.73,163.0,130.0,69.0,1.11,617.0,Strength,32.5,2.1,4.0,2.0,27.6
37.0,Male,71.7,1.72,168.0,133.0,71.0,1.22,612.0,HIIT,26.8,3.3,4.0,3.0,23.8
56.0,Female,70.9,1.82,144.0,103.0,77.0,0.73,812.0,Yoga,22.1,1.1,2.0,1.0,21.86
20.0,Male,72.1,1.78,142.0,103.0,67.0,0.7,857.0,Strength,23.2,2.0,2.0,2.0,22.77
45.0,Female,82.4,1.79,184.0,137.0,54.0,1.77,606.0,HIIT,30.0,2.9,4.0,3.0,26.11
18.0,Female,55.5,1.64,167.0,129.0,73.0,0.68,289.0,Cardio,23.2,2.7,2.0,1.0,20.76
39.0,Female,72.1,1.74,130.0,102.0,60.0,0.49,439.0,Yoga,30.1,1.9,2.0,1.0,23.81
55.0,Male,65.6,1.71,190.0,155.0,66.0,0.93,840.0,HIIT,19.5,3.6,3.0,3.0,22.09
42.0,Female,58.7,1.58,163.0,129.0,64.0,1.2,696.0,Cardio,27.4,2.8,3.0,2.0,23.84
38.0,Male,65.2,1.83,205.0,171.0,67.0,1.1,481.0,Cardio,13.8,1.7,3.0,3.0,19.62
29.0,Female,43.6,1.58,134.0,114.0,86.0,0.54,394.0,Cardio,17.3,1.4,1.0,1.0,18.19
36.0,Male,81.0,1.79,170.0,138.0,50.0,1.46,853.0,Strength,25.7,2.9,5.0,2.0,25.57
33.0,Female,81.4,1.7,154.0,131.0,88.0,0.61,577.0,Cardio,31.2,1.6,2.0,1.0,28.03
27.0,Male,57.2,1.83,182.0,150.0,66.0,0.95,894.0,Cardio,15.2,2.7,3.0,2.0,17.18
33.0,Female,68.9,1.65,153.0,127.0,70.0,1.13,933.0,Cardio,33.0,2.2,4.0,2.0,25.46
38.0,Female,81.7,1.69,147.0,115.0,62.0,0.54,545.0,Cardio,35.6,1.6,2.0,1.0,29.01
